Happiness.Score,Economy..GDP.per.Capita.
7.537000179,1.616463184
7.521999836,1.482383013
7.504000187,1.48063302
7.493999958,1.564979553
7.468999863,1.443571925
7.315999985,1.479204416
7.31400013,1.405706048
7.28399992,1.494387269
7.28399992,1.484414935
7.212999821,1.375382423
7.078999996,1.109706283
7.006000042,1.487097263
6.993000031,1.546259284
6.977000237,1.535706639
6.890999794,1.463780761
6.862999916,1.741943598
6.714000225,1.44163394
6.65199995,1.25278461
6.647999763,1.626343369
6.635000229,1.10735321
6.609000206,1.352682352
6.598999977,1.185295463
6.578000069,1.153183818
6.572000027,1.69227767
6.52699995,1.343279839
6.453999996,1.217559695
6.453999996,0.872001946
6.452000141,1.233748436
6.441999912,1.430923462
6.423999786,1.127868772
6.421999931,1.433626533
6.402999878,1.384397864
6.375,1.870765686
6.356999874,1.070622325
6.343999863,1.530623555
6.168000221,1.361355901
6.105000019,1.632952452
6.09800005,1.325393558
6.086999893,1.488412261
6.084000111,1.29121542
6.071000099,0.737299204
6.007999897,1.000820398
6.002999783,0.909784496
5.97300005,1.291787863
5.971000195,0.786441088
5.964000225,1.395066619
5.962999821,1.281778097
5.955999851,0.907975316
5.920000076,1.416915178
5.90199995,1.314582348
5.872000217,1.091864467
5.849999905,1.260748625
5.837999821,0.72887063
5.824999809,1.217683911
5.822999954,0.833756566
5.822000027,1.130776763
5.818999767,1.28455627
5.809999943,1.346911311
5.757999897,1.341205955
5.715000153,1.035225272
5.629000187,1.189395547
5.620999813,1.355938077
5.611000061,1.32087934
5.568999767,1.15655756
5.525000095,1.101803064
5.5,1.198274374
5.493000031,0.932537317
5.472000122,1.551674843
5.429999828,0.857699215
5.394999981,1.069317579
5.335999966,0.991012394
5.323999882,1.286011934
5.31099987,0.925579309
5.293000221,1.222556233
5.278999805,0.951484382
5.272999763,1.081165791
5.269000053,0.726883531
5.262000084,0.995538592
5.25,1.128431201
5.236999989,1.121129036
5.235000134,0.878114581
5.234000206,1.153601766
5.230000019,1.079373837
5.227000237,1.289487481
5.224999905,1.074987531
5.195000172,1.315175295
5.18200016,0.982409418
5.181000233,0.730573118
5.175000191,1.064577937
5.151000023,0.022643184
5.073999882,0.788547575
5.073999882,0.783756256
5.040999889,0.524713635
5.011000156,0.885416389
5.004000187,0.596220076
4.961999893,0.479820192
4.954999924,1.027235866
4.828999996,1.054698706
4.804999828,1.007265806
4.775000095,0.716249228
4.735000134,0.989701807
4.714000225,1.161459088
4.709000111,0.368420929
4.695000172,0.564305365
4.691999912,1.156873107
4.644000053,0.996192753
4.607999802,0.586682975
4.573999882,0.964434326
4.552999973,0.560479462
4.550000191,0.23430565
4.545000076,0.36711055
4.534999847,0.479309022
4.513999939,0.636406779
4.497000217,1.102710485
4.465000153,1.198210239
4.460000038,0.339233845
4.440000057,1.009850144
4.375999928,0.900596738
4.315000057,0.792221248
4.291999817,0.648457289
4.290999889,0.808964252
4.285999775,0.950612664
4.28000021,0.092102349
4.190000057,0.476180494
4.179999828,0.603048921
4.168000221,0.601765096
4.138999939,0.659516692
4.119999886,0.667224824
4.096000195,0.894651949
4.080999851,0.381430715
4.032000065,0.350227714
4.027999878,0.161925331
3.970000029,0.233442038
3.936000109,0.438012987
3.875,0.375846535
3.808000088,0.521021247
3.795000076,0.85842818
3.79399991,0.401477218
3.766000032,1.122094154
3.657000065,0.431085408
3.644000053,0.305808693
3.602999926,0.368610263
3.592999935,0.591683447
3.59100008,0.397248626
3.532999992,0.119041793
3.506999969,0.24454993
3.494999886,0.305444717
3.470999956,0.368745893
3.461999893,0.777153134
3.348999977,0.511135876
2.904999971,0.091622569
2.693000078,0
